cmdCode,descriptionOriginal,id,text,parent,isLeaf,aggrlevel
"6988","Miscell.articles of base metal","6988","6988 - Miscell.articles of base metal","698","0","4",
"69881","Chain and parts thereof of copper","69881","69881 - Chain and parts thereof of copper","6988","1","5",
"69882","Flexible tubing and piping of base metal","69882","69882 - Flexible tubing and piping of base metal","6988","1","5",
"69883","Beads and spangles of base metal","69883","69883 - Beads and spangles of base metal","6988","1","5",
"69884","Bells (non electric),of base metal","69884","69884 - Bells (non electric),of base metal","6988","1","5",
"69885","Stoppers,crown corks,bottle caps,of base metal","69885","69885 - Stoppers,crown corks,bottle caps,of base metal","6988","1","5",
"69886","Name plates,sign plates,etc.of base metal","69886","69886 - Name plates,sign plates,etc.of base metal","6988","1","5",
"69887","Soldering & welding rods,etc,of base metal","69887","69887 - Soldering & welding rods,etc,of base metal","6988","1","5",
"6988X","Memorandum Item","6988X","6988X - Memorandum Item","6988","1","5",
"6989","Articles of base metals, nes","6989","6989 - Articles of base metals, nes","698","0","4",
"69891","Articles of iron or steel n.e.s","69891","69891 - Articles of iron or steel n.e.s","6989","1","5",
"69892","Articles of copper, n.e.s.","69892","69892 - Articles of copper, n.e.s.","6989","1","5",
"69893","Articles of nickel,n.e.s.","69893","69893 - Articles of nickel,n.e.s.","6989","1","5",
"69894","Articles of aluminium,n.e.s.","69894","69894 - Articles of aluminium,n.e.s.","6989","1","5",
"69895","Articles of magnesium, n.e.s.","69895","69895 - Articles of magnesium, n.e.s.","6989","1","5",
"69896","Articles of lead,n.e.s.","69896","69896 - Articles of lead,n.e.s.","6989","1","5",
"69897","Articles of zinc,n.e.s.","69897","69897 - Articles of zinc,n.e.s.","6989","1","5",
"69898","Articles of tin, n.e.s.","69898","69898 - Articles of tin, n.e.s.","6989","1","5",
"6989X","Memorandum Item","6989X","6989X - Memorandum Item","6989","1","5",
"698X","Memorandum Item","698X","698X - Memorandum Item","698","0","4",
"698XX","Memorandum Item","698XX","698XX - Memorandum Item","698X","1","5",
"699","Manufactures of base metal, n.e.s.","699","699 - Manufactures of base metal, n.e.s.","69","0","3",
"6991","Locksmlths' wares, safes, strong rooms, strong boxes, etc. and hardware, n.e.s., of base metal","6991","6991 - Locksmlths' wares, safes, strong rooms, strong boxes, etc. and hardware, n.e.s., of base metal","699","0","4",
"69911","Locks and padlocks (key, combination or electrically operated), and parts thereof, of base metal; frames incorporating locks, for handbags, trunks or the like, and parts of such frames, of base metal; keys for any of the foregoing articles, of base metal","69911","69911 - Locks and padlocks (key, combination or electrically operated), and parts thereof, of base metal; frames incorporating locks, for handbags, trunks or the like, and parts of such frames, of base metal; keys for any of the foregoing articles, of base metal","6991","1","5",
"69912","Safes, strong boxes, amoured or reinforced strong-rooms, strong-room linings and strong-room doors, and cash and deed boxes and the like, of base metal","69912","69912 - Safes, strong boxes, amoured or reinforced strong-rooms, strong-room linings and strong-room doors, and cash and deed boxes and the like, of base metal","6991","1","5",
"69913","Base metal fittings and mountings of a kind suitable for furniture, doors, staircases, windows, blinds, coachwork, saddlery, trunks, caskets and the like (including automatic door closers); base metal hat-racks, hat-pegs, brackets and the like","69913","69913 - Base metal fittings and mountings of a kind suitable for furniture, doors, staircases, windows, blinds, coachwork, saddlery, trunks, caskets and the like (including automatic door closers); base metal hat-racks, hat-pegs, brackets and the like","6991","1","5",
"69914","Castors","69914","69914 - Castors","6991","1","5",
"69915","Other mountings, fittings and similar articles suitable for motor vehicles","69915","69915 - Other mountings, fittings and similar articles suitable for motor vehicles","6991","1","5",
"69916","Other mountings, fittings and similar articles suitable for buildings","69916","69916 - Other mountings, fittings and similar articles suitable for buildings","6991","1","5",
"69917","Other mountings, fittings and similar articles suitable for furniture","69917","69917 - Other mountings, fittings and similar articles suitable for furniture","6991","1","5",
"69919","Other mountings, fittings and similar articles; base metal hat-racks, hat-pegs, brackets and similar fixtures; automatic door closers","69919","69919 - Other mountings, fittings and similar articles; base metal hat-racks, hat-pegs, brackets and similar fixtures; automatic door closers","6991","1","5",
"6991X","Memorandum Item","6991X","6991X - Memorandum Item","6991","1","5",
"6992","Chain and parts thereof, of iron or steel","6992","6992 - Chain and parts thereof, of iron or steel","699","1","4",
"69921","Skid chain","69921","69921 - Skid chain","6992","1","5",
"69922","Other chain","69922","69922 - Other chain","6992","1","5",
"6992X","Memorandum Item","6992X","6992X - Memorandum Item","6992","1","5",
"6993","Pins and needles, of iron or steel; base metal beads and spangles; and fittings of base metal, of a kind commonly used for clothing, handbags, travel goods, etc.","6993","6993 - Pins and needles, of iron or steel; base metal beads and spangles; and fittings of base metal, of a kind commonly used for clothing, handbags, travel goods, etc.","699","0","4",
"69931","Needles for hand sewing (including embroidery), hand carpet needles and hand knitting needles, bodkins, crochet hooks, and the like, and embroidery stilettos, of iron or steel","69931","69931 - Needles for hand sewing (including embroidery), hand carpet needles and hand knitting needles, bodkins, crochet hooks, and the like, and embroidery stilettos, of iron or steel","6993","1","5",
"69932","Pins (excluding hatpins and other ornamental pins and drawing pins), hairpins and curling grips, of iron or steel","69932","69932 - Pins (excluding hatpins and other ornamental pins and drawing pins), hairpins and curling grips, of iron or steel","6993","1","5",
"69933","Clasps, frames with clasps for handbags and the like, buckles, buckle-clasps, hooks, eyes, eyelets and the like, of base metal, of a kind commonly used for clothing, travel goods, handbags or other textile or leather goods; tubular rivets and bifurcated rivets, of base metal; beads and spangles, of base metal","69933","69933 - Clasps, frames with clasps for handbags and the like, buckles, buckle-clasps, hooks, eyes, eyelets and the like, of base metal, of a kind commonly used for clothing, travel goods, handbags or other textile or leather goods; tubular rivets and bifurcated rivets, of base metal; beads and spangles, of base metal","6993","1","5",
"6993X","Memorandum Item","6993X","6993X - Memorandum Item","6993","1","5",
"6994","Springs and leaves for springs, of iron, steel or copper","6994","6994 - Springs and leaves for springs, of iron, steel or copper","699","0","4",
"69941","Springs and leaves for springs, of iron or steel","69941","69941 - Springs and leaves for springs, of iron or steel","6994","1","5",
"69942","Springs of copper","69942","69942 - Springs of copper","6994","1","5",
"6994X","Memorandum Item","6994X","6994X - Memorandum Item","6994","1","5",
"6995","Miscellaneous articles of base metal","6995","6995 - Miscellaneous articles of base metal","699","0","4",
"69951","Flexible tubing of base metal, with or without fittings","69951","69951 - Flexible tubing of base metal, with or without fittings","6995","1","5",
"69952","Bells, gongs and the like, non-electric, and parts thereof, of base metal","69952","69952 - Bells, gongs and the like, non-electric, and parts thereof, of base metal","6995","1","5",
"69953","Stoppers, caps and lids (including crown corks, screw caps and pouring stoppers), capsules for bottles, threaded bungs, bung covers, seals and other packing accessories, of base metal","69953","69953 - Stoppers, caps and lids (including crown corks, screw caps and pouring stoppers), capsules for bottles, threaded bungs, bung covers, seals and other packing accessories, of base metal","6995","1","5",
"69954","Sign-plates, name-plates, address-plates and similar plates, numbers, letters and other symbols, of base metal (excluding those of heading 813.2)","69954","69954 - Sign-plates, name-plates, address-plates and similar plates, numbers, letters and other symbols, of base metal (excluding those of heading 813.2)","6995","1","5",
"69955","Wire, rods, tubes, plates, electrodes and similar products, of base metal or of metal carbides, coated or cored with flux material, of a kind used for soldering, brazing, welding or deposition of metal or of metal carbides; wire and rods, of agglomerated","69955","69955 - Wire, rods, tubes, plates, electrodes and similar products, of base metal or of metal carbides, coated or cored with flux material, of a kind used for soldering, brazing, welding or deposition of metal or of metal carbides; wire and rods, of agglomerated","6995","1","5",
"6995X","Memorandum Item","6995X","6995X - Memorandum Item","6995","1","5",
"6996","Miscellaneous articles of base metal","6996","6996 - Miscellaneous articles of base metal","699","0","4",
"69961","Flexible tubing and piping, of base metal","69961","69961 - Flexible tubing and piping, of base metal","6996","1","5",
"69962","Bells and gongs, non-electric, of base metal, and parts thereof of base metal","69962","69962 - Bells and gongs, non-electric, of base metal, and parts thereof of base metal","6996","1","5",
"69963","Steppexs, crown corks, bottle caps, capsules, bung covers, seals and plombs, case corner protectors and other packing  accessories, of base metal","69963","69963 - Steppexs, crown corks, bottle caps, capsules, bung covers, seals and plombs, case corner protectors and other packing  accessories, of base metal","6996","1","5",
"69964","Sign-plates, name-plates, numbers, letters and other signs, of base metal","69964","69964 - Sign-plates, name-plates, numbers, letters and other signs, of base metal","6996","1","5",
"69965","Wire, rods, tubes, plates, electrodes and slmilar products, of base metal or of metal carbides, coated or cored with flux material, of a kind used for soldering, brazing, welding or deposition of metal or of metal carbides; wire and rods, of  agglomerated base metal powder, used for metal spraying","69965","69965 - Wire, rods, tubes, plates, electrodes and slmilar products, of base metal or of metal carbides, coated or cored with flux material, of a kind used for soldering, brazing, welding or deposition of metal or of metal carbides; wire and rods, of  agglomerated base metal powder, used for metal spraying","6996","1","5",
"69967","Articles of iron or steel wire, n.e.s.","69967","69967 - Articles of iron or steel wire, n.e.s.","6996","1","5",
"69969","Articles of iron or steel, n.e.s.","69969","69969 - Articles of iron or steel, n.e.s.","6996","1","5",
"6996X","Memorandum Item","6996X","6996X - Memorandum Item","6996","1","5",
"6997","Articles of iron or steel, n.e.s.","6997","6997 - Articles of iron or steel, n.e.s.","699","0","4",
"69971","Anchors and grapnels and parts thereof, of iron or steel","69971","69971 - Anchors and grapnels and parts thereof, of iron or steel","6997","1","5",
"69973","Articles of copper, n.e.s.","69973","69973 - Articles of copper, n.e.s.","6997","1","5",
"69975","Articles of nickel, n.e.s.","69975","69975 - Articles of nickel, n.e.s.","6997","1","5",
"69976","Articles of lead, n.e.s.","69976","69976 - Articles of lead, n.e.s.","6997","1","5",
"69977","Articles of zinc, n.e.s.","69977","69977 - Articles of zinc, n.e.s.","6997","1","5",
"69978","Articles of tin, n.e.s.","69978","69978 - Articles of tin, n.e.s.","6997","1","5",
"69979","Other articles of iron or steel, n.e.s. (excluding castings, forgings and stampings, in the rough state)","69979","69979 - Other articles of iron or steel, n.e.s. (excluding castings, forgings and stampings, in the rough state)","6997","1","5",
"6997X","Memorandum Item","6997X","6997X - Memorandum Item","6997","1","5",
"6998","Articles, n.e.s., of copper, nickel, aluminium, lead, zinc and tin","6998","6998 - Articles, n.e.s., of copper, nickel, aluminium, lead, zinc and tin","699","0","4",
"69981","....of copper","69981","69981 - ....of copper","6998","1","5",
"69982","....of nickel","69982","69982 - ....of nickel","6998","1","5",
"69983","....of aluminium","69983","69983 - ....of aluminium","6998","1","5",
"69984","....of lead","69984","69984 - ....of lead","6998","1","5",
"69985","....of zinc","69985","69985 - ....of zinc","6998","1","5",
"69986","....of tin","69986","69986 - ....of tin","6998","1","5",
"69987","Zirconium, wrought, and articles of zirconium, n.e.s.","69987","69987 - Zirconium, wrought, and articles of zirconium, n.e.s.","6998","1","5",
"6998X","Memorandum Item","6998X","6998X - Memorandum Item","6998","1","5",
"6999","Semi-manufactures and articles of tungsten (wolfram), molybdenum, tantalum, magnesium, of other base metals, n.e.s. and of cermets","6999","6999 - Semi-manufactures and articles of tungsten (wolfram), molybdenum, tantalum, magnesium, of other base metals, n.e.s. and of cermets","699","0","4",
"69991","Tungsten, wrought, and articles of tungsten, n.e.s.","69991","69991 - Tungsten, wrought, and articles of tungsten, n.e.s.","6999","1","5",
"69992","Molybdenum wrought, and articles of molybdenum, n.e.s.","69992","69992 - Molybdenum wrought, and articles of molybdenum, n.e.s.","6999","1","5",
"69993","Tantalum wrought, and articles of tantalum, n.e.s.","69993","69993 - Tantalum wrought, and articles of tantalum, n.e.s.","6999","1","5",
"69994","Wrought bars, rods, angles, shapes and sections, of magnesium; magnesium wire; wrought plates, sheets and strip, of magnesium; magnesium foil; raspings and shavings of uniform size, powders and flakes, of magnesium; tubes and pipes and blanks therefor, of magnesium; hollow bars of magnesium; other articles of magnesium","69994","69994 - Wrought bars, rods, angles, shapes and sections, of magnesium; magnesium wire; wrought plates, sheets and strip, of magnesium; magnesium foil; raspings and shavings of uniform size, powders and flakes, of magnesium; tubes and pipes and blanks therefor, of magnesium; hollow bars of magnesium; other articles of magnesium","6999","1","5",
"69995","Beryllium wrought, and articles of beryllium, n.e.s.","69995","69995 - Beryllium wrought, and articles of beryllium, n.e.s.","6999","1","5",
"69999","Base metals, n.e.s., wrought, and articles of such metals, n.e.s.; cermets, wrought, and articles of cermets, n.e.s.","69999","69999 - Base metals, n.e.s., wrought, and articles of such metals, n.e.s.; cermets, wrought, and articles of cermets, n.e.s.","6999","1","5",
"6999X","Memorandum Item","6999X","6999X - Memorandum Item","6999","1","5",
"699X","Memorandum Item","699X","699X - Memorandum Item","699","0","4",
"699XX","Memorandum Item","699XX","699XX - Memorandum Item","699X","1","5",
"69X","Memorandum Item","69X","69X - Memorandum Item","69","0","3",
"69XX","Memorandum Item","69XX","69XX - Memorandum Item","69X","0","4",
"69XXX","Memorandum Item","69XXX","69XXX - Memorandum Item","69XX","1","5",
"6X","Memorandum Item","6X","6X - Memorandum Item","6","0","2",
"6XX","Memorandum Item","6XX","6XX - Memorandum Item","6X","0","3",
"6XXX","Memorandum Item","6XXX","6XXX - Memorandum Item","6XX","0","4",
"6XXXX","Memorandum Item","6XXXX","6XXXX - Memorandum Item","6XXX","1","5",
"7","Machinery and transport equipment","7","7 - Machinery and transport equipment","TOTAL","0","1",
"71","Machinery, other than electric","71","71 - Machinery, other than electric","7","0","2",
"711","Power generating machinery, other than electric","711","711 - Power generating machinery, other than electric","71","0","3",
"7111","Steam generating boilers","7111","7111 - Steam generating boilers","711","1","4",
"71111","Steam or other vapour-generating boilers","71111","71111 - Steam or other vapour-generating boilers","7111","1","5",
"71112","Superheated water boilers","71112","71112 - Superheated water boilers","7111","1","5",
"7111X","Memorandum Item","7111X","7111X - Memorandum Item","7111","1","5",
"7112","Boiler house plant","7112","7112 - Boiler house plant","711","1","4",
"71121","Auxiliary plant for use with boilers of subgroup 711.1 or 812.1","71121","71121 - Auxiliary plant for use with boilers of subgroup 711.1 or 812.1","7112","1","5",
"71122","Condensers for steam or other vapour power units","71122","71122 - Condensers for steam or other vapour power units","7112","1","5",
"7112X","Memorandum Item","7112X","7112X - Memorandum Item","7112","1","5",
"7113","Steam engines and steam turbines","7113","7113 - Steam engines and steam turbines","711","0","4",
"71131","Steam engines incorporating boilers","71131","71131 - Steam engines incorporating boilers","7113","1","5",
"71132","Steam engines not incorporating boilers","71132","71132 - Steam engines not incorporating boilers","7113","1","5",
"7113X","Memorandum Item","7113X","7113X - Memorandum Item","7113","1","5",
"7114","Aircraft  incl jet propulsion   engines","7114","7114 - Aircraft  incl jet propulsion   engines","711","0","4",
"71141","Internal combustion engines for aircraft","71141","71141 - Internal combustion engines for aircraft","7114","1","5",
"71142","Jet & gas turbines for aircraft","71142","71142 - Jet & gas turbines for aircraft","7114","1","5",
"7114X","Memorandum Item","7114X","7114X - Memorandum Item","7114","1","5",
"7115","Internal combustion engines, not for aircraft","7115","7115 - Internal combustion engines, not for aircraft","711","1","4",
"7116","Gas turbines,other than for aircraft","7116","7116 - Gas turbines,other than for aircraft","711","1","4",
"7117","Nuclear reactors","7117","7117 - Nuclear reactors","711","1","4",
"7118","Engines, nes","7118","7118 - Engines, nes","711","0","4",
"71181","Water turbines & other water engines","71181","71181 - Water turbines & other water engines","7118","1","5",
"71189","Engines,wind,hot air engines not water engines","71189","71189 - Engines,wind,hot air engines not water engines","7118","1","5",
"7118X","Memorandum Item","7118X","7118X - Memorandum Item","7118","1","5",
"7119","Parts, n.e.s. of boilers and auxiliary plant of headings 711.1 and 711.2","7119","7119 - Parts, n.e.s. of boilers and auxiliary plant of headings 711.1 and 711.2","711","0","4",
"71191","Parts, n.e.s. of the boilers falling within heading 711.1","71191","71191 - Parts, n.e.s. of the boilers falling within heading 711.1","7119","1","5",
"71192","Parts for the apparatus and appliances of subgroup 711.2","71192","71192 - Parts for the apparatus and appliances of subgroup 711.2","7119","1","5",
"71199","Parts, n.e.s. of the apparatus, appliances falling within heading 711.2","71199","71199 - Parts, n.e.s. of the apparatus, appliances falling within heading 711.2","7119","1","5",
"7119X","Memorandum Item","7119X","7119X - Memorandum Item","7119","1","5",
"711X","Memorandum Item","711X","711X - Memorandum Item","711","0","4",
"711XX","Memorandum Item","711XX","711XX - Memorandum Item","711X","1","5",
"712","Agricultural machinery and implements","712","712 - Agricultural machinery and implements","71","0","3",
"7121","Agricultural machinery for cultivating the soil","7121","7121 - Agricultural machinery for cultivating the soil","712","1","4",
"71211","....for marine propulsion","71211","71211 - ....for marine propulsion","7121","1","5",
"71219","....other","71219","71219 - ....other","7121","1","5",
"7121X","Memorandum Item","7121X","7121X - Memorandum Item","7121","1","5",
"7122","Agricultural machinery for harvesting,threshing","7122","7122 - Agricultural machinery for harvesting,threshing","712","1","4",
"7123","Milking machines,cream separators,dairy farm eq","7123","7123 - Milking machines,cream separators,dairy farm eq","712","0","4",
"71231","Cream separators","71231","71231 - Cream separators","7123","1","5",
"71239","Other dairy machinery","71239","71239 - Other dairy machinery","7123","1","5",
"7123X","Memorandum Item","7123X","7123X - Memorandum Item","7123","1","5",
"7125","Tractors, other than road tractors","7125","7125 - Tractors, other than road tractors","712","0","4",
"71251","Tracklaying tractors","71251","71251 - Tracklaying tractors","7125","1","5",
"71252","Walking tractors","71252","71252 - Walking tractors","7125","1","5",
"71253","Tractors fitted with winches","71253","71253 - Tractors fitted with winches","7125","1","5",
"71254","Rest of 712.5","71254","71254 - Rest of 712.5","7125","1","5",
"7125X","Memorandum Item","7125X","7125X - Memorandum Item","7125","1","5",
"7126","Steam and other vapour power units, not incorporating boilers; steam engines (including mobile engines, but not steam tractors falling within heading 722 or mechanlcally propelled road rollers) with self-contained boilers","7126","7126 - Steam and other vapour power units, not incorporating boilers; steam engines (including mobile engines, but not steam tractors falling within heading 722 or mechanlcally propelled road rollers) with self-contained boilers","712","1","4",
"7128","Parts for the turbines of subgroup 712.1","7128","7128 - Parts for the turbines of subgroup 712.1","712","1","4",
"7129","Agricultural machinery and appliances, nes","7129","7129 - Agricultural machinery and appliances, nes","712","0","4",
"71291","Presses for wine making","71291","71291 - Presses for wine making","7129","1","5",
"71299","Other agricultural machinery","71299","71299 - Other agricultural machinery","7129","1","5",
"7129X","Memorandum Item","7129X","7129X - Memorandum Item","7129","1","5",
"712X","Memorandum Item","712X","712X - Memorandum Item","712","0","4",
"712XX","Memorandum Item","712XX","712XX - Memorandum Item","712X","1","5",
"713","Internal combustion piston engines, and parts thereof, n.e.s.","713","713 - Internal combustion piston engines, and parts thereof, n.e.s.","71","0","3",
"7131","Internal combustion piston engines, for aircraft, and parts thereof, n.e.s.","7131","7131 - Internal combustion piston engines, for aircraft, and parts thereof, n.e.s.","713","0","4",
"71311","Internal combustion piston engines, for aircraft","71311","71311 - Internal combustion piston engines, for aircraft","7131","1","5",
"71319","Parts, n.e.s. of the aircraft engines falling within heading 71311","71319","71319 - Parts, n.e.s. of the aircraft engines falling within heading 71311","7131","1","5",
"7131X","Memorandum Item","7131X","7131X - Memorandum Item","7131","1","5",
"7132","Internal combustion piston engines for propelling vehicles of division 78, group 722 and items 744.11 and 951.01","7132","7132 - Internal combustion piston engines for propelling vehicles of division 78, group 722 and items 744.11 and 951.01","713","1","4",
"71321","Reciprocating piston engines of a cylinder capacity not exceeding 1,000 cc","71321","71321 - Reciprocating piston engines of a cylinder capacity not exceeding 1,000 cc","7132","1","5",
"71322","Reciprocating piston engines of a cylinder capacity exceeding 1,000 cc","71322","71322 - Reciprocating piston engines of a cylinder capacity exceeding 1,000 cc","7132","1","5",
"71323","Compression-ignition engines (diesel or semi-diesel engines)","71323","71323 - Compression-ignition engines (diesel or semi-diesel engines)","7132","1","5",
"7132X","Memorandum Item","7132X","7132X - Memorandum Item","7132","1","5",
"7133","Internal combustion piston engines, marine propulsion","7133","7133 - Internal combustion piston engines, marine propulsion","713","0","4",
"71331","....outboard","71331","71331 - ....outboard","7133","1","5",
"71332","....other than outboard","71332","71332 - ....other than outboard","7133","1","5",
"71333","Compression-ignition engines (diesel or semi-diesel engines)","71333","71333 - Compression-ignition engines (diesel or semi-diesel engines)","7133","1","5",
"7133X","Memorandum Item","7133X","7133X - Memorandum Item","7133","1","5",
"7138","Internal combustion piston engines, n.e.s.","7138","7138 - Internal combustion piston engines, n.e.s.","713","1","4",
"71381","Other spark-ignition reciprocating or rotary internal combustion piston engines","71381","71381 - Other spark-ignition reciprocating or rotary internal combustion piston engines","7138","1","5",
"71382","Other compression-ignition internal combustion engines (diesel or semi-diesel)","71382","71382 - Other compression-ignition internal combustion engines (diesel or semi-diesel)","7138","1","5",
"7138X","Memorandum Item","7138X","7138X - Memorandum Item","7138","1","5",
"7139","Parts, n.e.s. of the internal combustion piston engines falling within headings 713.2, 713.3  and 713.8","7139","7139 - Parts, n.e.s. of the internal combustion piston engines falling within headings 713.2, 713.3  and 713.8","713","1","4",
"71391","....suitable for use solely or principally with spark-ignition internal combustion piston engines","71391","71391 - ....suitable for use solely or principally with spark-ignition internal combustion piston engines","7139","1","5",
"71392","....suitable for use solely or principally with compression-ignition internal combustion piston engines","71392","71392 - ....suitable for use solely or principally with compression-ignition internal combustion piston engines","7139","1","5",
"7139X","Memorandum Item","7139X","7139X - Memorandum Item","7139","1","5",
"713X","Memorandum Item","713X","713X - Memorandum Item","713","0","4",
"713XX","Memorandum Item","713XX","713XX - Memorandum Item","713X","1","5",
"714","Office machines","714","714 - Office machines","71","0","3",
"7141","Typewriters and cheque writing machines","7141","7141 - Typewriters and cheque writing machines","714","1","4",
"7142","Calculating & accounting machines etc","7142","7142 - Calculating & accounting machines etc","714","0","4",
"71421","Electronic computers","71421","71421 - Electronic computers","7142","1","5",
"71422","Rest of 714.2","71422","71422 - Rest of 714.2","7142","1","5",
"7142X","Memorandum Item","7142X","7142X - Memorandum Item","7142","1","5",
"7143","Statistical machines cards or tapes","7143","7143 - Statistical machines cards or tapes","714","1","4",
"7144","Reaction engines","7144","7144 - Reaction engines","714","1","4",
"71441","Turbojets","71441","71441 - Turbojets","7144","1","5",
"71449","Other than turbojets","71449","71449 - Other than turbojets","7144","1","5",
"7144X","Memorandum Item","7144X","7144X - Memorandum Item","7144","1","5",
"7148","Gas turbines, n.e.s.","7148","7148 - Gas turbines, n.e.s.","714","0","4",
"71481","Turbo-propellers","71481","71481 - Turbo-propellers","7148","1","5",
"71488","Other gas turbines, n.e.s.","71488","71488 - Other gas turbines, n.e.s.","7148","1","5",
"71489","Other gas turbines","71489","71489 - Other gas turbines","7148","1","5",
"7148X","Memorandum Item","7148X","7148X - Memorandum Item","7148","1","5",
"7149","Office machines, nes","7149","7149 - Office machines, nes","714","0","4",
"71491","Duplicating,addressing,etc.machines","71491","71491 - Duplicating,addressing,etc.machines","7149","1","5",
"71492","Parts of office machinery,n.e.s.","71492","71492 - Parts of office machinery,n.e.s.","7149","1","5",
"71496","Duplicating machines","71496","71496 - Duplicating machines","7149","1","5",
"71497","Rest of 714.91","71497","71497 - Rest of 714.91","7149","1","5",
"71498","Parts/accessories of mach.of 714.3","71498","71498 - Parts/accessories of mach.of 714.3","7149","1","5",
"71499","Rest of 714.92","71499","71499 - Rest of 714.92","7149","1","5",
"7149X","Memorandum Item","7149X","7149X - Memorandum Item","7149","1","5",
"714X","Memorandum Item","714X","714X - Memorandum Item","714","0","4",
"714XX","Memorandum Item","714XX","714XX - Memorandum Item","714X","1","5",
"715","Metalworking machinery","715","715 - Metalworking machinery","71","0","3",
"7151","Machine tools for working metals","7151","7151 - Machine tools for working metals","715","0","4",
"71511","Mach.tools for removing metal","71511","71511 - Mach.tools for removing metal","7151","1","5",
"71512","Mach.tools for changing shape or form","71512","71512 - Mach.tools for changing shape or form","7151","1","5",
"71513","Rest of 715.1","71513","71513 - Rest of 715.1","7151","1","5",
"7151X","Memorandum Item","7151X","7151X - Memorandum Item","7151","1","5",
"7152","Other metalworking machinery","7152","7152 - Other metalworking machinery","715","0","4",
"71521","Converters,ladles,ingot moulds & castings","71521","71521 - Converters,ladles,ingot moulds & castings","7152","1","5",
"71522","Rolling mills & rolls, for metalworking","71522","71522 - Rolling mills & rolls, for metalworking","7152","1","5",
"71523","Gas operated welding, cutting etc. Appliances","71523","71523 - Gas operated welding, cutting etc. Appliances","7152","1","5",
"7152X","Memorandum Item","7152X","7152X - Memorandum Item","7152","1","5",
"715X","Memorandum Item","715X","715X - Memorandum Item","715","0","4",
"715XX","Memorandum Item","715XX","715XX - Memorandum Item","715X","1","5",
"716","Rotating electric plant and parts thereof, n.e.s.","716","716 - Rotating electric plant and parts thereof, n.e.s.","71","0","3",
"7161","Motors and generators, direct current","7161","7161 - Motors and generators, direct current","716","1","4",
"7162","Electric motors, generators (other than direct current) and generating sets","7162","7162 - Electric motors, generators (other than direct current) and generating sets","716","0","4",
"71621","Electric motors [including universal (A.C./D.C) motors], other than direct current","71621","71621 - Electric motors [including universal (A.C./D.C) motors], other than direct current","7162","1","5",
"71622","Generators, alternating current","71622","71622 - Generators, alternating current","7162","1","5",
"71623","Generating sets with internal combustion piston engines","71623","71623 - Generating sets with internal combustion piston engines","7162","1","5",
"7162X","Memorandum Item","7162X","7162X - Memorandum Item","7162","1","5",
"7163","Rotary converters","7163","7163 - Rotary converters","716","1","4",
"71631","AC motors (including universal (AC/DC) motors, but excluding motors of an output not exceeding 37.5 W)","71631","71631 - AC motors (including universal (AC/DC) motors, but excluding motors of an output not exceeding 37.5 W)","7163","1","5",
"71632","Generators, alternating current","71632","71632 - Generators, alternating current","7163","1","5",
"7163X","Memorandum Item","7163X","7163X - Memorandum Item","7163","1","5",
"7164","Electric rotary converters","7164","7164 - Electric rotary converters","716","1","4",
"7165","Generating sets","7165","7165 - Generating sets","716","0","4",
"71651","Electric generating sets with compression-ignition internal combustion piston engines (diesel or semi-diesel engines)","71651","71651 - Electric generating sets with compression-ignition internal combustion piston engines (diesel or semi-diesel engines)","7165","1","5",
"71652","Other generating sets","71652","71652 - Other generating sets","7165","1","5",
"7165X","Memorandum Item","7165X","7165X - Memorandum Item","7165","1","5",
"7169","Parts, n.e.s., of rotating electric plant","7169","7169 - Parts, n.e.s., of rotating electric plant","716","1","4",
"716X","Memorandum Item","716X","716X - Memorandum Item","716","0","4",
"716XX","Memorandum Item","716XX","716XX - Memorandum Item","716X","1","5",
"717","Textile and leather machinery","717","717 - Textile and leather machinery","71","0","3",
"7171","Textile machinery","7171","7171 - Textile machinery","717","0","4",
"71711","Spinning,extruding,etc.machines","71711","71711 - Spinning,extruding,etc.machines","7171","1","5",
"71712","Weaving,knitting,etc.machines","71712","71712 - Weaving,knitting,etc.machines","7171","1","5",
"71713","Machines aux.of those of 717 12","71713","71713 - Machines aux.of those of 717 12","7171","1","5",
"71714","Machinery for manufacturing/finishing of felt","71714","71714 - Machinery for manufacturing/finishing of felt","7171","1","5",
"71715","Textile bleaching,washing,dressing,etc. Mach.","71715","71715 - Textile bleaching,washing,dressing,etc. Mach.","7171","1","5",
"7171X","Memorandum Item","7171X","7171X - Memorandum Item","7171","1","5",
"7172","Machinery ex.sewing mach. For working hides etc","7172","7172 - Machinery ex.sewing mach. For working hides etc","717","1","4",
"7173","Sewing machines","7173","7173 - Sewing machines","717","1","4",
"717X","Memorandum Item","717X","717X - Memorandum Item","717","0","4",
"717XX","Memorandum Item","717XX","717XX - Memorandum Item","717X","1","5",
"718","Machines for special industries","718","718 - Machines for special industries","71","0","3",
"7181","Paper mill and pulp mill machinery, etc.","7181","7181 - Paper mill and pulp mill machinery, etc.","718","0","4",
"71811","Machinery for making or finishing cel.pulp","71811","71811 - Machinery for making or finishing cel.pulp","7181","1","5",
"71812","Paper cutting machines","71812","71812 - Paper cutting machines","7181","1","5",
"71819","Parts, including regulators, of hydraulic turbines and water-wheels","71819","71819 - Parts, including regulators, of hydraulic turbines and water-wheels","7181","1","5",
"7181X","Memorandum Item","7181X","7181X - Memorandum Item","7181","1","5",
